Departamento,TEC07_sin_TIC_%,TEC17_sin_internet_%,TEC17_sin_pc_%,TEC17_sin_celular_%,EDU07_analfab_%,EDU17_analfab_%,EDU17_sabe_leer_%,CTRL07_pobreza_%,CTRL07_gasto_pc,POB17_censada
Amazonas,79.9,95.55,88.98,30.61,12.0,15.47,78.64,55.0,237.5,379384.0
Ancash,56.1,81.67,75.0,20.4,12.4,13.84,81.25,42.6,320.8,1083519.0
Apurimac,81.9,91.07,85.26,28.79,21.7,18.17,76.7,69.5,203.5,405759.0
Arequipa,39.2,67.12,59.48,8.72,4.1,8.1,87.33,23.8,435.0,1382730.0
Ayacucho,78.6,89.58,82.16,22.35,17.9,15.82,79.05,68.3,206.2,616176.0
Cajamarca,77.0,90.71,85.9,25.34,17.1,17.5,77.25,64.5,214.9,1341012.0
Cusco,65.8,83.08,75.26,22.71,13.9,14.06,81.1,57.4,261.2,1205527.0
Huancavelica,92.1,95.07,89.97,31.85,20.1,18.91,75.91,85.7,131.5,347639.0
Huanuco,78.1,89.15,82.77,26.11,16.6,16.06,78.5,64.9,231.0,721047.0
Ica,35.2,72.58,65.71,12.34,2.8,7.97,86.7,15.1,371.6,850765.0
Junin,60.4,83.64,74.74,19.54,7.6,11.0,83.74,43.0,281.2,1246038.0
La Libertad,44.5,72.71,68.34,15.58,8.1,11.35,83.35,37.3,381.5,1778080.0
Lambayeque,38.0,71.27,66.02,13.04,6.5,10.21,84.61,40.6,317.9,1197260.0
Lima,20.7,52.77,48.42,7.85,2.1,6.57,89.18,19.1,534.5,9485405.0
Loreto,68.9,87.26,80.74,35.56,5.5,14.01,79.51,54.6,279.6,883510.0
Madre De Dios,55.2,83.56,74.27,11.99,3.2,10.6,83.59,15.6,431.5,141070.0
Moquegua,45.3,74.98,62.56,11.9,4.7,8.39,87.38,25.8,418.5,174863.0
Pasco,68.1,90.42,78.32,23.26,8.3,12.07,82.86,63.4,222.2,254065.0
Piura,54.0,82.46,77.29,22.93,9.2,12.64,81.85,45.0,313.6,1856809.0
Puno,74.8,92.55,85.87,28.65,12.2,13.33,82.32,67.2,208.6,1172697.0
San Martin,66.5,85.5,80.54,20.18,7.7,13.18,81.12,44.5,254.5,813381.0
Tacna,38.3,70.73,64.66,9.15,3.7,7.73,88.11,20.4,410.3,329332.0
Tumbes,36.2,78.8,71.51,13.86,3.4,9.77,84.69,18.1,412.5,224863.0
Ucayali,57.4,84.33,78.7,23.05,4.8,12.51,80.97,45.0,313.2,496459.0
